name,state,address,notes,display_order,status
KLEINBURG MEDICAL,Lagos,"6B ABIMBOLA AWONIYI CLOSE, OFF KASUMU EKEMODE STREET BY SAKA TINUBU VICTORIA ISLAND LAGOS",City/Town: victoria Island | LGA: Eti-Osa | Category: Tier 1 | Service: General,0,active
LAGOON HOSPITAL VICTORIA ISLAND,Lagos,13A/B Idejo street off Adeola Odeku Victoria Island,City/Town: victoria Island | LGA: Eti-Osa | Category: Tier 5 | Service: General,0,active
MEDISON SPECIALIST WOMENS HOSPITAL,Lagos,18B OLATUNJI MOORE STREET OFF TF KUBOYE ROAD ONIRU LEKKI,City/Town: Victoria Island | LGA: Ibeju - Lekki | Category: Tier 4 | Service: General,0,active
OUTPATIENT SURGERY AND ENDOSCOPY CLINIC LTD,Lagos,"OSEC unit, CASS hospital Complex 9b idejo street, VI Lagos.",City/Town: Victoria Island | LGA: Eti-Osa | Category: Tier 3 | Service: SURGERY,0,active
PAEDIATRIC PARTNERS LIMITED,Lagos,314A Akin Ogunlewe VI,City/Town: victoria Island | LGA: Eti-Osa | Category: Tier 5 | Service: General,0,active
PAELON MEMORIAL CLINIC VI,Lagos,1221 AHMADU BELLO WAY VICTORIA ISLAND,City/Town: victoria Island | LGA: Eti-Osa | Category: Tier 5 | Service: General,0,active
REDDINGTON HOSPITAL VI,Lagos,"Address, 12, Idowu Martins street, off Adeola odeku street V.I",City/Town: victoria Island | LGA: Eti-Osa | Category: Tier 4 | Service: General,0,active
RNZ CLINIC,Lagos,"1A Akinbo Savage StreetVictoria Island, Lagos Nigeria",City/Town: Victoria Island | LGA: Eti-Osa | Category: International Plan | Service: General,0,active
THE RODING MEDICAL CENTRE - VI,Lagos,"29B OLABODE GEAORGE STREET,OFF AJAOSE ADEOGUN ST,VICTORIA ISLAND",City/Town: Victoria Island | LGA: Eti-Osa | Category: Tier 4 | Service: General,0,active
ST IVES HOSPITAL IKOYI,Lagos,NO 6 MAITAMA SULE STREET FALOMO IKOYI,City/Town: Ikoyi | LGA: Eti-Osa | Category: Tier 3 | Service: General,0,active
LAGOS ISLAND MATERNITY HOSPITAL,Lagos,"10, Campbell Street Lagos Island",City/Town: Lagos -Campbell | LGA: Lagos Island | Category: Tier 1 | Service: General,0,active
COSMODERM MEDICAL AND DIAGNOSTIC CENTRE,Lagos,"202, Awolowo Road, Falomo-Ikoyi",City/Town: Keffi -IKOYI | LGA: Eti-osa | Category: Tier 2 | Service: General; also: Dermatology Center / referal,0,active
CAREVALUE HEALTH LTD,Lagos,"14A, Trem Close, Alternative Chevron Route, Lekki Phase 2, Lagos State",City/Town: Lekki | LGA: Eti-Osa | Category: Tier 4 | Service: General,0,active
THE PENINSULA HOSPITAL,Lagos,"Hospital Lekki beside mega chicken 23 ,Lekki – Epe Expressway, Ikota,",City/Town: Lekki | LGA: Eti-Osa | Category: Tier 1 | Service: General,0,active
ST NICHOLAS HOSPITAL - LEKKI,Lagos,"Lekki , Ibeju Lekki",City/Town: Lekki | LGA: Ibeju Lekki | Category: Tier 5 | Service: General,0,active
ST NICHOLAS HOSPITAL CAMPBELL,Lagos,"57, Campbell Street, Lagos Island",City/Town: Lagos Island | LGA: Lagos Island | Category: Tier 5 | Service: General,0,active
ST NICHOLAS HOSPITAL LIMITED -VI,Lagos,7B ETIM INYANG CRESCENT VICTORIA ISLAND,"City/Town: Victoria Island, | LGA: Eti-Osa | Category: Tier 5 | Service: General",0,active
Q-Life Family Clinic,Lagos,155A Prince Ade Odedina Street VI Lagos,"City/Town: Victoria Island, | LGA: Eti-Osa | Category: Tier 5 | Service: General",0,active
DOREN SPECIALIST HOSPITAL,Lagos,"1 KEMFAT ROAD, THOMAS ESTATE AJAH",City/Town: Ajah | LGA: Eti-Osa | Category: Tier 3 | Service: General,0,active
